Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
253,54,128,28160,1,49206,0,0,0,windows
254,54,128,26624,1,49206,0,0,0,windows
255,54,128,25344,1,49206,0,0,0,windows
256,54,128,23808,1,49206,0,0,0,windows
257,54,128,22528,1,49206,0,0,0,windows
258,54,128,20992,1,49206,0,0,0,windows
259,54,128,19712,1,49206,0,0,0,windows
260,54,128,18176,1,49206,0,0,0,windows
261,54,128,16896,1,49206,0,0,0,windows
262,54,128,15360,1,49206,0,0,0,windows
263,54,128,14080,1,49206,0,0,0,windows
264,54,128,12544,1,49206,0,0,0,windows
265,54,128,11264,1,49206,0,0,0,windows
266,54,128,9728,1,49206,0,0,0,windows
267,54,128,8448,1,49206,0,0,0,windows
268,54,128,6912,1,49206,0,0,0,windows
269,54,128,5632,1,49206,0,0,0,windows
270,54,128,4096,1,49206,0,0,0,windows
271,54,128,2816,1,49206,0,0,0,windows
272,54,128,1280,1,49206,0,0,0,windows
273,1384,55,42496,1,49206,0,0,0,windows
274,54,128,0,1,49206,0,0,0,windows
275,66,128,32,1,49211,1460,8,1,windows
276,66,128,32,1,49212,1460,8,1,windows
277,66,55,15525,1,49211,1410,8,1,windows
278,54,128,2,1,49211,0,0,0,windows
279,233,128,2,1,49211,0,0,0,windows
280,54,55,42240,1,49211,0,0,0,windows
281,66,54,15525,1,49212,1410,8,1,windows
282,54,128,2,1,49212,0,0,0,windows
283,1464,55,42496,1,49211,0,0,0,windows
284,233,128,2,1,49212,0,0,0,windows
285,78,55,42496,1,49211,0,0,0,windows
286,180,128,2,1,49211,0,0,0,windows
287,54,54,42240,1,49212,0,0,0,windows
288,1464,54,42496,1,49212,0,0,0,windows
289,77,54,42496,1,49212,0,0,0,windows
290,105,55,42496,1,49211,0,0,0,windows
291,54,128,65281,1,49211,0,0,0,windows
292,180,128,2,1,49212,0,0,0,windows
293,134,55,42496,1,49206,0,0,0,windows
294,54,128,65281,1,49206,0,0,0,windows
295,54,128,24579,1,49206,0,0,0,windows
296,54,128,28931,1,49206,0,0,0,windows
297,1326,55,42496,1,49206,0,0,0,windows
298,54,128,27651,1,49206,0,0,0,windows
299,105,54,42496,1,49212,0,0,0,windows
300,54,128,65281,1,49212,0,0,0,windows
301,54,128,26115,1,49206,0,0,0,windows
302,54,128,24835,1,49206,0,0,0,windows
303,54,128,23299,1,49206,0,0,0,windows
304,54,128,22019,1,49206,0,0,0,windows
305,54,128,20483,1,49206,0,0,0,windows
306,54,128,19203,1,49206,0,0,0,windows
307,54,128,17667,1,49206,0,0,0,windows
308,54,128,16387,1,49206,0,0,0,windows
309,54,128,14851,1,49206,0,0,0,windows
310,54,128,42244,1,49206,0,0,0,windows
311,54,128,53508,1,49206,0,0,0,windows
312,1163,55,42496,1,49206,0,0,0,windows
313,54,128,52484,1,49206,0,0,0,windows
314,507,128,64769,1,49208,0,0,0,windows
315,987,56,2816,0,49208,0,0,0,windows
316,905,128,65281,1,49211,0,0,0,windows
317,795,128,65281,1,49210,0,0,0,windows
318,253,55,42496,1,49211,0,0,0,windows
319,274,55,42496,1,49211,0,0,0,windows
320,54,128,64001,1,49211,0,0,0,windows
321,54,128,62721,1,49211,0,0,0,windows
322,54,128,61185,1,49211,0,0,0,windows
323,54,128,59905,1,49211,0,0,0,windows
324,54,128,58369,1,49211,0,0,0,windows
325,54,128,57089,1,49211,0,0,0,windows
326,54,128,55553,1,49211,0,0,0,windows
327,54,128,54273,1,49211,0,0,0,windows
328,54,128,52737,1,49211,0,0,0,windows
329,54,128,51457,1,49211,0,0,0,windows
330,54,128,49921,1,49211,0,0,0,windows
331,1254,56,42496,1,49210,0,0,0,windows
332,54,128,64257,1,49210,0,0,0,windows
333,54,128,64001,1,49210,0,0,0,windows
334,54,128,62721,1,49210,0,0,0,windows
335,54,128,48641,1,49211,0,0,0,windows
336,54,128,47105,1,49211,0,0,0,windows
337,54,128,45825,1,49211,0,0,0,windows
338,54,128,44289,1,49211,0,0,0,windows
339,54,128,43009,1,49211,0,0,0,windows
340,54,128,41473,1,49211,0,0,0,windows
341,54,128,40193,1,49211,0,0,0,windows
342,54,128,38657,1,49211,0,0,0,windows
343,54,128,37377,1,49211,0,0,0,windows
344,54,128,35841,1,49211,0,0,0,windows
345,54,128,34561,1,49211,0,0,0,windows
346,54,128,33025,1,49211,0,0,0,windows
347,54,128,31745,1,49211,0,0,0,windows
348,54,128,30209,1,49211,0,0,0,windows
349,1267,55,42496,1,49211,0,0,0,windows
350,54,128,28929,1,49211,0,0,0,windows
351,54,128,61185,1,49210,0,0,0,windows
352,54,128,59905,1,49210,0,0,0,windows
353,54,128,58369,1,49210,0,0,0,windows
354,54,128,57089,1,49210,0,0,0,windows
355,54,128,55553,1,49210,0,0,0,windows
356,54,128,54273,1,49210,0,0,0,windows
357,54,128,52737,1,49210,0,0,0,windows
358,54,128,51457,1,49210,0,0,0,windows
359,54,128,49921,1,49210,0,0,0,windows
360,54,128,48641,1,49210,0,0,0,windows
361,66,128,2,1,49210,0,0,0,windows
362,672,56,42496,1,49210,0,0,0,windows
363,54,128,64769,1,49210,0,0,0,windows
364,411,128,2,1,49208,0,0,0,windows
365,411,128,65281,1,49207,0,0,0,windows
366,66,128,32,1,49213,1460,8,1,windows
367,66,128,32,1,49214,1460,8,1,windows
368,66,128,32,1,49215,1460,8,1,windows
369,66,128,32,1,49216,1460,8,1,windows
